"<b>Order status (Before the payment is made):</b>","<b>Състояние на поръчката (След извършване на плащането):</b>"
"Set the status of the order <b>before</b> the payment is made. This is used to distinguish between paid and not paid orders!","Задайте състояние на поръчката <b>преди</b> извършване на плащането. Това служи за разграничаване на платените и неплатените поръчки!"
"<b>New order status (When the payment is made):</b>","<b>Ново състояние на поръчката (След като плащането е извършено):</b>"
"Set the status of the order <b>after</b> the payment is made. This is used to distinguish between paid and not paid orders!","Задайте състоянието на поръчката <b>след</b> извършване на плащането. Това служи за разграничаване на платените и неплатените поръчки!"
"Secret Key","Секретен Ключ"
"Trader Email", "Електронна поща на търговеца"
"Trader ePay Number","Търговси ePay номер"
"Payment Exparation Time","Време за изтичане на плащането"
"Set the time for payment exparation in <b>days</b>. Please enter a number. For example: <b>15</b>. By default is <b>20</b>.","Задайте време в което плащането е валидно в <b>дни</b>. Пример: <b>15</b>. По подразбиране е <b>20</b>."
"Sandbox","Тестов режим"
"You will be redirected to ePay Bg website","Ще бъдете пренасочени към сайта на ePay Bg"
"You will receive 10 digits number, that you can use in EasyPay office or ATM with servive B-Pay.","Ще получите 10-цифрен номер, койтом може да използвате, за да платите в офис на EasyPay или банкомат с услугата B-Pay."
"Your order has been canceled","Поръчката ви беше отхвърлена"
"You will be redirected to ePay Bg in a few seconds.","Ще бъдете пренасочени към сайта на ePay Bg след няколко секунди."
"Please slect currency between United States dollar, Euro and Bulgarian lev. Selected currency code is not compatabile with Epay Bg.","Моля изберете валута между Щатски долари, Евро и Български лев. Избраната валута не е съвместима с Epay Bg."
"You chose pay from ATM ( B-Pay ) or from office of EasyPay for order # %s","Вие избрахте начин за плащане от банкомат ( B-Pay ) или офис на EasyPay за поръчка # %s"
"Please use 10-digits number to finalize the payment.","Моля използвайте 10-цифрения номер, за да извършите плащането."
"10-digits number","10-цифрен номер"
"In case if you forget the 10-digits number you can find it in your customer profile in out shop in sction EasyPay | B-Pay or in message, that you will receive in you email.","В случай че забравите 10-цифрения номер, може да го намерите в потребитлския Ви профил на нашият магазин в секция EasyPay | B-Pay или в писмо, което сме изпратили на вашата поща"
"Payment from ATM","Плащане през бакомат"
"Read carefully the instructions from official","Прочетете внимателно инструкциите от официалната"
"page of ePay.bg","страница на ePay.bg"
"Look for ATM from the list ATMs","Потърсете банкомат от списъка с банкомати"
"from that is possible to do the payment","от които е възможно да се извърши плащане"
"For trader number use","Въведете за номер на търговеца"
"Enter the 10-digits number","Въведете 10-цифрения номер за плащане"
"Payment from EasyPay office","Плащане от офис на EasyPay"
"Choose EasyPay office","Изберете офис на EasyPay от"
"form next page","следната стараница"
"In the office tell to which trader you must pay and","В офиса съобщете към кой търговец иска да заплатите и"
"provide 10-digits number","предоставете 10-цифрения номер"
"Order #","Поръчка #"
"10-digits number needed for payment","10-цифрен номер нужен за плащането"
"Status","Статус"
"You have placed no EasePay | B-Pay orders yet.","Няма извършени поръчки чрез EasePay | B-Pay."
"Enabled","Включен"
"Title","Заглавие"
"ePay Bg Settings","ePay Bg Настройки"
"Payment with Borika, Maestro, Visa and Mastercard","Плащане с Borika, Maestro, Visa и Mastercard"
"Payment with EasyPay or B-Pay","Плащане с EasyPay или B-Pay"
"Payment with ePay Bg microbill","Плащане с ePay Bg микросметка"
"Payment Method","Начин на плащане"